Downsampled Coverage	TPR SNP	FDR SNP	TPR INDEL	FDR INDEL	TPR HET
30	0.9855163253	0.04405791553	0.792104291	0.250143542	0.9814481101
27.5	0.9844839592	0.04403917351	0.7838651385	0.2503962192	0.9798346728
25	0.9827830132	0.04402877482	0.7732598191	0.2508119297	0.9771785921
22.5	0.9800798995	0.04400734215	0.7598165971	0.25122124	0.9729419016
20	0.9756639009	0.04413327467	0.7422600387	0.2516620784	0.9659662939
17.5	0.9683962544	0.04450174256	0.718690721	0.2519898998	0.9545051958
15	0.9564267773	0.04528999477	0.6872217008	0.2531269582	0.9355854667
12.5	0.9352741582	0.04633929853	0.6442862563	0.2535287432	0.9022521042
10	0.8956625525	0.0471267833	0.5848575308	0.2540651701	0.8401756805
7.5	0.8171907914	0.04647575297	0.4986272239	0.2536946549	0.7194444576
5	0.6576723235	0.04409654899	0.3684755696	0.2508956027	0.4912764828
